group,method,n_posts,pair_universe_note,pairwise_f1,pairwise_precision,pairwise_recall,ari,nmi,false_merge_rate,false_split_rate,post_assignment_accuracy,predicted_story_count,singleton_predicted_rate
gold_story_size_1_test,hybrid_graph_v1_entity,83,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
gold_story_size_1_test,hybrid_v4_1_soft_entity_penalty,83,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.0,0.0,0.0,0.0,0.9462559836964675,0.017043784895680283,0.0,1.0,65.0,0.7076923076923077
gold_story_size_1_test,deepseek_chat_llm,83,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.0,0.0,0.0,0.0,0.947665315372428,0.012048192771084338,0.0,1.0,63.0,0.6190476190476191
gold_story_size_2_test,semantic_only,55,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.32,0.24489795918367346,0.46153846153846156,0.3040789509956169,0.884758155396054,0.025359835503769704,0.5384615384615384,0.4482758620689655,34.0,0.47058823529411764
gold_story_size_2_test,semantic_time,55,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.37499999999999994,0.3157894736842105,0.46153846153846156,0.36172956245164617,0.8990397514695887,0.01782042494859493,0.5384615384615384,0.41379310344827586,35.0,0.5142857142857142
gold_story_size_2_test,hybrid_graph_v1_entity,55,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.03441429516876241,0.017508417508417508,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
gold_story_size_2_test,hybrid_v4_1_soft_entity_penalty,55,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.41791044776119407,0.34146341463414637,0.5384615384615384,0.4051641794110699,0.9163764344224267,0.018505825908156272,0.46153846153846156,0.4827586206896552,36.0,0.5833333333333334
gold_story_size_2_test,deepseek_chat_llm,55,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.48387096774193544,0.4166666666666667,0.5769230769230769,0.4731590500898024,0.9150021617592566,0.01439342015078821,0.4230769230769231,0.5517241379310345,33.0,0.45454545454545453
gold_story_size_3-4_test,semantic_only,59,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.3116883116883117,0.2236024844720497,0.5142857142857142,0.27006098722568495,0.802135354659466,0.07617306520414381,0.6111111111111112,0.5476190476190477,26.0,0.34615384615384615
gold_story_size_3-4_test,semantic_time,59,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.5806451612903226,0.5294117647058824,0.6428571428571429,0.560944316140621,0.8703323792893749,0.02437538086532602,0.4444444444444444,0.6428571428571429,24.0,0.20833333333333334
gold_story_size_3-4_test,hybrid_graph_v1_entity,59,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.07860752386299831,0.040911747516072475,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
gold_story_size_3-4_test,hybrid_v4_1_soft_entity_penalty,59,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.7258064516129034,0.8333333333333334,0.6428571428571429,0.7156751578659264,0.9151726653723522,0.005484460694698354,0.5,0.6428571428571429,30.0,0.4666666666666667
gold_story_size_3-4_test,deepseek_chat_llm,59,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.5408805031446541,0.48314606741573035,0.6142857142857143,0.5188432483656857,0.8719516025827654,0.028031687995124923,0.5,0.6190476190476191,27.0,0.3333333333333333
gold_story_size_5+_test,semantic_only,66,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.40793201133144474,0.29508196721311475,0.6605504587155964,0.31114887653829665,0.7129178437117109,0.1785158277114686,0.5,0.7368421052631579,15.0,0.2
gold_story_size_5+_test,semantic_time,66,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.4946236559139785,0.46558704453441296,0.5275229357798165,0.43345363159509653,0.7290224925081809,0.06850025947067981,0.7,0.5964912280701754,15.0,0.2
gold_story_size_5+_test,hybrid_graph_v1_entity,66,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.18451121455776553,0.10163170163170163,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
gold_story_size_5+_test,hybrid_v4_1_soft_entity_penalty,66,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.5235602094240838,0.6097560975609756,0.45871559633027525,0.47800868046734396,0.7797653809972575,0.03321224701608718,0.6,0.5087719298245614,21.0,0.14285714285714285
gold_story_size_5+_test,deepseek_chat_llm,66,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.680965147453083,0.8193548387096774,0.5825688073394495,0.6515313888642398,0.8448061204229814,0.014530358069538143,0.6,0.6140350877192983,18.0,0.05555555555555555
gold_time_span_1-3d_test,semantic_only,16,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.7032967032967032,0.5714285714285714,0.9142857142857143,0.5371428571428571,0.7319852789898555,0.2823529411764706,0.25,0.8461538461538461,5.0,0.2
gold_time_span_1-3d_test,semantic_time,16,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.5079365079365079,0.5714285714285714,0.45714285714285713,0.3357142857142857,0.687271191543106,0.1411764705882353,0.5,0.5384615384615384,6.0,0.5
gold_time_span_1-3d_test,hybrid_graph_v1_entity,16,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.45161290322580644,0.2916666666666667,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
gold_time_span_1-3d_test,hybrid_v4_1_soft_entity_penalty,16,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.4912280701754386,0.6363636363636364,0.4,0.3433962264150943,0.686183804208995,0.09411764705882353,0.75,0.46153846153846156,7.0,0.42857142857142855
gold_time_span_1-3d_test,deepseek_chat_llm,16,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.3720930232558139,1.0,0.22857142857142856,0.2956521739130435,0.7214500550147469,0.0,0.75,0.23076923076923078,10.0,0.1
gold_time_span_3d+_test,semantic_only,32,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.6482758620689655,0.6619718309859155,0.6351351351351351,0.5880935322086889,0.8543224292542719,0.05687203791469194,0.5,0.5925925925925926,13.0,0.23076923076923078
gold_time_span_3d+_test,semantic_time,32,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.4461538461538462,0.5178571428571429,0.3918918918918919,0.36446469248291574,0.7457161259264946,0.06398104265402843,0.8333333333333334,0.37037037037037035,13.0,0.3076923076923077
gold_time_span_3d+_test,hybrid_graph_v1_entity,32,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.2596491228070176,0.14919354838709678,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
gold_time_span_3d+_test,hybrid_v4_1_soft_entity_penalty,32,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.35051546391752575,0.7391304347826086,0.22972972972972974,0.3010646864095911,0.7669725721879902,0.014218009478672985,1.0,0.14814814814814814,20.0,0.45
gold_time_span_3d+_test,deepseek_chat_llm,32,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.5511811023622047,0.660377358490566,0.47297297297297297,0.4873431493435845,0.8392037645922735,0.04265402843601896,0.5,0.4444444444444444,13.0,0.0
gold_time_span_same-day_test,semantic_only,215,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.13063583815028904,0.0740983606557377,0.551219512195122,0.11675984213777717,0.8056386076091883,0.06192982456140351,0.5909090909090909,0.5795454545454546,86.0,0.5930232558139535
gold_time_span_same-day_test,semantic_time,215,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.21617021276595746,0.1309278350515464,0.6195121951219512,0.20446567110380193,0.8338357147830846,0.03697368421052632,0.5,0.6363636363636364,81.0,0.6049382716049383
gold_time_span_same-day_test,hybrid_graph_v1_entity,215,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.01766479965532098,0.008911106281243208,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
gold_time_span_same-day_test,hybrid_v4_1_soft_entity_penalty,215,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.34362416107382554,0.23703703703703705,0.624390243902439,0.33503405532494057,0.9023307743031751,0.01807017543859649,0.4090909090909091,0.6818181818181818,106.0,0.6792452830188679
gold_time_span_same-day_test,deepseek_chat_llm,215,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.3717277486910995,0.25402504472271914,0.6926829268292682,0.3634267866438611,0.889724288183079,0.018289473684210526,0.45454545454545453,0.7045454545454546,101.0,0.6237623762376238
source_part_expansion_test,semantic_only,139,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.24418604651162787,0.16666666666666666,0.45652173913043476,0.2279097590155529,0.862118164765992,0.03332275468105363,0.75,0.39655172413793105,78.0,0.5897435897435898
source_part_expansion_test,semantic_time,139,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.3767313019390582,0.30493273542600896,0.4927536231884058,0.365451336052103,0.8827239710564991,0.016396911033534328,0.7142857142857143,0.3793103448275862,75.0,0.64
source_part_expansion_test,hybrid_graph_v1_entity,139,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.028368794326241138,0.014388489208633094,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
source_part_expansion_test,hybrid_v4_1_soft_entity_penalty,139,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.44609665427509293,0.4580152671755725,0.43478260869565216,0.4382238858599832,0.9185032108586658,0.007510843118586692,0.6785714285714286,0.39655172413793105,93.0,0.7849462365591398
source_part_expansion_test,deepseek_chat_llm,139,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.49044585987261147,0.4375,0.5579710144927537,0.48209212426063064,0.9108242885497377,0.010472865756902571,0.6785714285714286,0.4827586206896552,85.0,0.6705882352941176
source_part_old_test,semantic_only,124,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.19268110530246452,0.11092003439380911,0.7329545454545454,0.1589632475052128,0.7336133784053215,0.13879194630872482,0.34615384615384615,0.7857142857142857,28.0,0.32142857142857145
source_part_old_test,semantic_time,124,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.16855753646677474,0.09829867674858223,0.5909090909090909,0.13429772823129899,0.6862901154343343,0.12805369127516777,0.34615384615384615,0.7285714285714285,23.0,0.34782608695652173
source_part_old_test,hybrid_graph_v1_entity,124,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.04511663675980517,0.023078940466824023,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
source_part_old_test,hybrid_v4_1_soft_entity_penalty,124,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.28205128205128205,0.188212927756654,0.5625,0.2563310953311534,0.807087531252509,0.057315436241610736,0.3076923076923077,0.6714285714285714,34.0,0.3235294117647059
source_part_old_test,deepseek_chat_llm,124,pair_universe=all unordered pairs among posts in subgroup; partial gold stories may appear truncated,0.32383808095952027,0.219959266802444,0.6136363636363636,0.30005515180993586,0.8383742681976285,0.05140939597315436,0.2692307692307692,0.7,38.0,0.18421052631578946
